device_type,brand,model,procedure_name,difficulty_level,estimated_time,required_tools,safety_precautions,steps
laptop,Dell,XPS 15,Battery Replacement,Intermediate,45,"Precision screwdriver set;Plastic pry tools;ESD protection;Multimeter","Disconnect power;Remove bottom case;Disconnect battery connector;Remove old battery;Install new battery;Reassemble;Test","1. Power off and unplug the laptop\n2. Remove all screws from bottom case\n3. Use plastic pry tools to carefully open bottom case\n4. Disconnect battery connector from motherboard\n5. Remove screws holding battery in place\n6. Carefully lift out old battery\n7. Clean battery compartment\n8. Install new battery and secure with screws\n9. Reconnect battery connector\n10. Replace bottom case and screws\n11. Power on and test battery functionality"
laptop,Dell,XPS 15,SSD Upgrade,Easy,30,"Precision screwdriver set;Anti-static wrist strap;External SSD enclosure","Disconnect power;Back up data;Remove bottom case;Locate SSD;Disconnect and remove;Install new SSD;Reassemble;Restore data","1. Power off and unplug laptop\n2. Back up important data\n3. Remove bottom case screws\n4. Open bottom case carefully\n5. Locate M.2 SSD slot\n6. Remove retaining screw\n7. Pull out existing SSD at angle\n8. Insert new SSD at same angle\n9. Secure with retaining screw\n10. Replace bottom case\n11. Install operating system if needed"
laptop,HP,EliteBook 840,Display Replacement,Expert,90,"Precision screwdriver set;Plastic pry tools;Heat gun;ESD protection;Spudgers","Disconnect power;Remove bezel;Disconnect display cables;Remove broken display;Install new display;Test;Reassemble","1. Power off and unplug laptop\n2. Remove screen bezel screws\n3. Carefully pry off bezel starting from bottom\n4. Disconnect display cable and backlight connector\n5. Remove display mounting screws\n6. Carefully lift out broken display\n7. Clean frame and mounting points\n8. Install new display panel\n9. Reconnect display and backlight cables\n10. Test display before full reassembly\n11. Replace bezel and secure screws"
laptop,Apple,MacBook Pro,Battery Replacement,Expert,75,"Pentalobe screwdriver;Tri-point screwdriver;Plastic cards;Adhesive remover;Isopropyl alcohol","Disconnect power;Remove bottom case;Disconnect battery;Remove adhesive;Install new battery;Reassemble;Calibrate","1. Power off MacBook and unplug\n2. Remove Pentalobe screws from bottom case\n3. Use plastic cards to carefully separate bottom case\n4. Disconnect battery connector\n5. Use adhesive remover to soften battery adhesive\n6. Carefully pry out old battery cells\n7. Clean battery compartment with isopropyl alcohol\n8. Install new battery with adhesive strips\n9. Reconnect battery connector\n10. Replace bottom case\n11. Calibrate battery through system settings"
smartphone,Apple,iPhone 12,Screen Replacement,Expert,75,"Pentalobe screwdriver;Tri-point screwdriver;Suction cup;Spudgers;Heat gun;Isopropyl alcohol","Disconnect power;Remove screen;Disconnect cables;Install new screen;Test;Reassemble","1. Power off iPhone\n2. Remove Pentalobe screws from bottom\n3. Use heat gun to soften screen adhesive\n4. Use suction cup to lift screen slightly\n5. Insert spudger to cut remaining adhesive\n6. Carefully lift screen assembly\n7. Disconnect display and touch cables\n8. Remove broken screen assembly\n9. Transfer home button if needed\n10. Install new screen assembly\n11. Reconnect cables\n12. Test screen functionality\n13. Reseal with adhesive"
smartphone,Samsung,Galaxy S21,Battery Replacement,Intermediate,40,"Precision screwdriver set;Plastic pry tools;Heat gun;Battery adhesive remover","Disconnect power;Remove back cover;Disconnect battery;Remove old battery;Install new battery;Reassemble","1. Power off phone and remove SIM tray\n2. Apply heat to back cover to soften adhesive\n3. Use suction cup and pry tools to remove back cover\n4. Disconnect fingerprint sensor cable\n5. Disconnect battery connector\n6. Use battery adhesive remover\n7. Carefully lift out old battery\n8. Clean battery compartment\n9. Install new battery with new adhesive\n10. Reconnect battery connector\n11. Reattach fingerprint sensor\n12. Apply new adhesive to back cover\n13. Press back cover firmly"
tablet,Apple,iPad Pro,Screen Replacement,Expert,120,"Pentalobe screwdriver;Heat gun;Suction cup;Spudgers;Isopropyl alcohol;Screen adhesive","Disconnect power;Remove screen;Disconnect cables;Install new screen;Test;Reassemble","1. Power off iPad\n2. Apply heat evenly around screen edges\n3. Use suction cup to carefully lift screen\n4. Cut adhesive with guitar string or thin wire\n5. Carefully lift screen assembly\n6. Disconnect display cables\n7. Remove broken screen assembly\n8. Clean frame and remove old adhesive\n9. Install new screen assembly\n10. Reconnect display cables\n11. Test display before resealing\n12. Apply new screen adhesive\n13. Let adhesive cure for proper bonding"
smartwatch,Apple,Watch Series 8,Battery Replacement,Expert,50,"Pentalobe screwdriver;Tri-point screwdriver;Plastic pry tools;Battery adhesive remover","Disconnect power;Remove screen;Disconnect battery;Remove old battery;Install new battery;Reassemble","1. Power off Apple Watch\n2. Remove screen using heat and pry tools\n3. Disconnect battery connector\n4. Use battery adhesive remover\n5. Carefully remove old battery\n6. Clean battery compartment\n7. Install new battery with adhesive\n8. Reconnect battery connector\n9. Replace screen assembly\n10. Test battery functionality\n11. Check water resistance seal"
smarttv,Samsung,QN90B,Power Supply Replacement,Expert,75,"Precision screwdriver set;Multimeter;ESD protection;Safety glasses","Unplug TV;Remove back cover;Disconnect power supply;Install new unit;Test;Reassemble","1. Unplug TV and wait 30 minutes for discharge\n2. Remove stand and wall mount if attached\n3. Remove all screws from back cover\n4. Carefully remove back cover\n5. Locate power supply board\n6. Take photo of all connections\n7. Disconnect all cables from power supply\n8. Remove mounting screws\n9. Carefully lift out power supply board\n10. Install new power supply board\n11. Reconnect all cables\n12. Replace back cover\n13. Power on and test"
headphones,Sony,WH-1000XM4,Battery Replacement,Easy,30,"Small Phillips screwdriver;Plastic pry tools;Soldering iron","Disconnect power;Remove ear cushions;Access battery;Replace;Reassemble","1. Power off headphones\n2. Remove left ear cushion\n3. Remove screws under ear cushion\n4. Carefully separate ear cup housing\n5. Disconnect battery connector\n6. Desolder old battery if soldered\n7. Install new battery and solder if needed\n8. Reconnect battery connector\n9. Reassemble ear cup\n10. Replace ear cushion\n11. Test battery functionality"
