device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
laptop,Dell,XPS 15,"wont turn on no power black screen completely dead",Power supply failure,"Power adapter;Battery;Motherboard",45,95,Senior
laptop,HP,EliteBook 840,"overheating fan loud thermal shutdown random restart",Cooling system failure,"Fan;Heat sink;Thermal paste",60,88,Intermediate
laptop,Lenovo,ThinkPad T490,"slow performance freezing blue screen application crashes",Storage failure,"SSD;RAM;HDD",90,92,Senior
smartphone,Apple,iPhone 12,"cracked screen touch not working display glitching",Screen damage,"Display;Touch digitizer;Frame",75,98,Expert
smartphone,Samsung,Galaxy S21,"battery drains fast phone hot charges very slow",Battery failure,"Battery;Charging IC;Port",45,90,Intermediate
laptop,Apple,MacBook Pro,"no display backlight works external monitor fine",Display cable failure,"Display cable;LCD;Connector",120,85,Expert
laptop,Dell,Latitude 5420,"wifi not working cannot detect networks bluetooth also down",WiFi card failure,"WiFi card;Antenna;Driver",50,93,Intermediate
smartphone,Google,Pixel 6,"water damage phone wont turn on corrosion visible",Water damage,"PCB;Components;Connectors",180,70,Expert
laptop,HP,Envy x360,"keyboard not responding some keys stuck random typing",Keyboard failure,"Keyboard;Ribbon cable;Controller",40,96,Junior
smartphone,OnePlus,9 Pro,"charging port loose intermittent charging cable falls out",Port failure,"Charging port;Flex cable;Board",35,94,Intermediate
laptop,Asus,ROG Zephyrus,"graphical glitches artifacts on screen games crash",GPU failure,"GPU;VRAM;Thermal pads",150,75,Expert
smartphone,Xiaomi,Note 10,"no sound from speakers distorted audio calls fail",Audio IC failure,"Audio IC;Speaker;Amplifier",60,82,Senior
laptop,Acer,Predator Helios,"USB ports not working devices not detected",USB controller failure,"USB controller;Ports;Chipset",55,88,Intermediate
smartphone,Apple,iPhone 11,"boot loop stuck on apple logo cannot enter recovery",Software corruption,"iOS;NAND;Bootloader",30,91,Junior
laptop,MSI,Stealth GS66,"webcam not detected camera app shows black",Camera failure,"Camera module;Cable;Drivers",35,87,Intermediate
