device_type,brand,model,screen_size,processor,ram,storage,battery_capacity,release_year,weight,water_resistance,price_range,common_components
laptop,Dell,XPS 15,15.6,"Intel Core i7-12700H",16,512,5400,2022,4.2,None,Premium,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Speakers;USB-C ports;Thunderbolt 4;SD card reader"
laptop,HP,EliteBook 840,14,"Intel Core i5-1135G7",8,256,3840,2021,3.3,IP65,Professional,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader;Smart card reader"
laptop,Lenovo,ThinkPad T490,14,"Intel Core i7-10510U",16,512,5040,2019,3.2,None,Business,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;TrackPoint;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader"
laptop,Apple,MacBook Pro,14,"Apple M2 Pro",16,512,7000,2023,3.5,None,Premium,"Logic board;M2 Pro chip;RAM;SSD;Display;Battery;Keyboard;Touch Bar;Touch ID;WiFi;Bluetooth;Speakers;Thunderbolt 4 ports"
laptop,Dell,Latitude 5420,14,"Intel Core i5-11400H",8,256,3840,2021,3.6,None,Business,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader"
laptop,HP,Envy x360,15.6,"AMD Ryzen 7 5825U",16,512,5250,2021,3.9,None,Premium,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader"
laptop,Asus,ROG Zephyrus,15.6,"Intel Core i9-12900H",32,1024,4800,2022,4.7,None,Gaming,"Motherboard;CPU;RAM;SSD;GPU;Display;Battery;RGB keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Thunderbolt 4"
laptop,Acer,Predator Helios,15.6,"Intel Core i7-11800H",16,512,3250,2021,5.1,None,Gaming,"Motherboard;CPU;RAM;SSD;GPU;Display;Battery;RGB keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Thunderbolt 4"
laptop,MSI,Stealth GS66,15.6,"Intel Core i7-11800H",16,512,3250,2021,4.2,None,Gaming,"Motherboard;CPU;RAM;SSD;GPU;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Thunderbolt 4"
laptop,Dell,XPS 13,13.4,"Intel Core i7-1165G7",16,512,3780,2021,2.6,None,Premium,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Thunderbolt 4"
laptop,ThinkPad,X1 Carbon,14,"Intel Core i7-1165G7",16,512,5720,2021,2.5,None,Business,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;TrackPoint;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader"
laptop,HP,Spectre x360,14,"Intel Core i7-1165G7",16,512,3820,2021,3.0,None,Premium,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;Fingerprint reader"
laptop,Lenovo,Legion 5,15.6,"AMD Ryzen 7 5800H",16,512,4800,2021,5.5,None,Gaming,"Motherboard;CPU;RAM;SSD;GPU;Display;Battery;RGB keyboard;Touchpad;WiFi card;Bluetooth;Webcam"
laptop,Asus,ZenBook,13.3,"Intel Core i5-1135G7",8,256,4000,2021,2.5,None,Ultrabook,"Motherboard;CPU;RAM;SSD;Display;Battery;Keyboard;Touchpad;WiFi card;Bluetooth;Webcam;USB-C ports"
smartphone,Apple,iPhone 12,6.1,"A14 Bionic",6,128,2815,2020,0.46,IP68,Premium,"Display;Battery;A14 chip;RAM;NAND storage;Rear camera;Front camera;Lightning port;Speakers;Microphones;Taptic engine;Face ID sensors"
smartphone,Samsung,Galaxy S21,6.2,"Exynos 2100",8,128,4000,2021,0.46,IP68,Premium,"Display;Battery;Exynos chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Ultrasonic fingerprint"
smartphone,Google,Pixel 6,6.4,"Google Tensor",8,128,4614,2021,0.46,IP68,Premium,"Display;Battery;Tensor chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
smartphone,OnePlus,9 Pro,6.7,"Snapdragon 888",12,256,4500,2021,0.49,IP68,Premium,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
smartphone,Xiaomi,Note 10,6.5,"Snapdragon 730G",6,128,5260,2019,0.46,IP54,Budget,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Rear fingerprint"
smartphone,Apple,iPhone 11,6.1,"A13 Bionic",4,128,3110,2019,0.46,IP68,Premium,"Display;Battery;A13 chip;RAM;NAND storage;Rear camera;Front camera;Lightning port;Speakers;Microphones;Taptic engine;Face ID sensors"
smartphone,Apple,iPhone 14,6.1,"A15 Bionic",6,128,3279,2022,0.46,IP68,Premium,"Display;Battery;A15 chip;RAM;NAND storage;Rear cameras;Front camera;Lightning port;Speakers;Microphones;Taptic engine;Face ID sensors"
smartphone,Samsung,S23 Ultra,6.8,"Snapdragon 8 Gen 2",12,256,5000,2023,0.55,IP68,Premium,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Ultrasonic fingerprint;S pen"
smartphone,Google,Pixel 7,6.3,"Google Tensor 2",8,128,4355,2022,0.44,IP68,Premium,"Display;Battery;Tensor chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
smartphone,OnePlus,11,6.7,"Snapdragon 8 Gen 2",8,128,5000,2023,0.49,IP68,Premium,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
smartphone,Xiaomi,13 Pro,6.7,"Snapdragon 8 Gen 2",12,256,4820,2022,0.52,IP68,Premium,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
tablet,Apple,iPad Pro,11,"M2 chip",8,256,7538,2022,0.68,None,Premium,"Display;Battery;M2 chip;RAM;UFS storage;Rear camera;Front camera;USB-C port;Speakers;Microphones;Touch ID;Apple Pencil support"
tablet,Samsung,Galaxy Tab S8,11,"Snapdragon 8 Gen 1",8,128,8000,2022,0.71,IP68,Premium,"Display;Battery;Snapdragon chip;RAM;UFS storage;Rear cameras;Front camera;USB-C port;Speakers;Microphones;Under-display fingerprint"
tablet,Microsoft,Surface Pro 9,13,"Intel Core i5-1235U",8,256,4770,2022,0.91,None,Professional,"Display;Battery;Intel chip;RAM;SSD;Rear camera;Front camera;USB-C port;Speakers;Microphones;Surface Connect;Type Cover support"
tablet,Apple,iPad Air,10.9,"M1 chip",8,64,7606,2022,0.62,None,Premium,"Display;Battery;M1 chip;RAM;UFS storage;Rear camera;Front camera;USB-C port;Speakers;Microphones;Touch ID;Apple Pencil support"
tablet,Samsung,Galaxy Tab A9,8.7,"Unisoc T606",4,64,5100,2023,0.51,None,Budget,"Display;Battery;Unisoc chip;RAM;UFS storage;Rear camera;Front camera;USB-C port;Speakers;Microphones"
tablet,Microsoft,Surface Go,10.5,"Intel Core i3-10100Y",8,128,4240,2021,0.79,None,Budget,"Display;Battery;Intel chip;RAM;SSD;Rear camera;Front camera;USB-C port;Speakers;Microphones;Surface Connect;Type Cover support"
smartwatch,Apple,Watch Series 8,1.9,"S8 chip",1,32,308,2022,0.14,IP50,Premium,"Display;Battery;S8 chip;RAM;NAND storage;Heart rate sensor;Blood oxygen sensor;ECG sensor;Temperature sensor;Digital crown;Side button;Taptic engine"
smartwatch,Samsung,Galaxy Watch 5,1.4,"Exynos W920",2,16,410,2022,0.16,5ATM,Premium,"Display;Battery;Exynos chip;RAM;UFS storage;Heart rate sensor;Blood oxygen sensor;ECG sensor;Temperature sensor;Rotating bezel;Side buttons"
smartwatch,Fitbit,Versa 4,1.4,"Fitbit chip",1,32,236,2022,0.12,None,Budget,"Display;Battery;Fitbit chip;RAM;NAND storage;Heart rate sensor;Blood oxygen sensor;Accelerometer;Gyroscope;GPS;Side button"
smartwatch,Garmin,Fenix 7,1.3,"Garmin chip",2,32,516,2022,0.21,10ATM,Premium,"Display;Battery;Garmin chip;RAM;NAND storage;Heart rate sensor;Blood oxygen sensor;GPS;Barometer;Compass;Accelerometer;Gyroscope;Physical buttons"
smartwatch,Apple,Watch Ultra,1.9,"S8 chip",1,32,542,2022,0.18,100M,Premium,"Display;Battery;S8 chip;RAM;NAND storage;Heart rate sensor;Blood oxygen sensor;ECG sensor;Temperature sensor;GPS;Cellular antenna;Digital crown;Action button"
smarttv,Samsung,QN90B,65,"Quantum Processor 4K",2,16,None,2022,35.5,None,Premium,"Display;Quantum processor;RAM;Flash storage;T-CON board;Power supply;Speakers;WiFi module;Bluetooth module;HDMI ports;USB ports;Remote control"
smarttv,LG,OLED C1,55,"Alpha 9 Gen 4",2,16,None,2021,24.9,None,Premium,"OLED display;Alpha processor;RAM;Flash storage;T-CON board;Power supply;Speakers;WiFi module;Bluetooth module;HDMI ports;USB ports;Remote control"
smarttv,Sony,X95K,65,"Cognitive Processor XR",2,16,None,2022,32.1,None,Premium,"Display;XR processor;RAM;Flash storage;T-CON board;Power supply;Speakers;WiFi module;Bluetooth module;HDMI ports;USB ports;Remote control"
smarttv,TCL,R646,55,"AiPQ Engine 3.0",2,16,None,2021,22.4,None,Budget,"Display;TCL processor;RAM;Flash storage;T-CON board;Power supply;Speakers;WiFi module;Bluetooth module;HDMI ports;USB ports;Remote control"
smarttv,Vizio,P-Series,55,"Vizio Processor",2,16,None,2022,25.8,None,Mid-range,"Display;Vizio processor;RAM;Flash storage;T-CON board;Power supply;Speakers;WiFi module;Bluetooth module;HDMI ports;USB ports;Remote control"
headphones,Sony,WH-1000XM4,Over-ear,None,None,4050,2020,0.58,None,Premium,"Drivers;Battery;ANC processor;Bluetooth module;Touch controls;Microphones;Audio DSP;Headband;Ear cushions"
headphones,Apple,AirPods Pro,In-ear,None,None,None,2019,0.11,IPX4,Premium,"Drivers;Battery;ANC processor;Bluetooth module;Microphones;Force sensor;Charging case;Lightning port"
headphones,Bose,QC35,Over-ear,None,None,2420,2015,0.51,None,Premium,"Drivers;Battery;ANC processor;Bluetooth module;Audio cable;Microphones;Audio DSP;Headband;Ear cushions"
headphones,Jabra,Elite 85t,In-ear,None,None,None,2020,0.14,IP55,Premium,"Drivers;Battery;ANC processor;Bluetooth module;Microphones;Touch controls;Charging case;USB-C port"
headphones,Sennheiser,Momentum 4,Over-ear,None,None,6000,2022,0.68,None,Premium,"Drivers;Battery;ANC processor;Bluetooth module;Touch controls;Microphones;Audio DSP;Headband;Ear cushions"
iot,Amazon,Echo Dot,4th Gen,None,None,None,2020,0.34,None,Budget,"Speaker array;Microphone array;WiFi module;Bluetooth module;LED ring;Power adapter;Volume buttons"
iot,Google,Nest Hub,7,"Google Assistant",1,16,None,2021,1.2,None,Mid-range,"Display;Speaker array;Microphone array;WiFi module;Bluetooth module;Ambient light sensor;Volume buttons"
iot,Apple,HomePod,3.5,"Apple S7 chip",1,16,None,2021,2.3,None,Premium,"Speaker array;Microphone array;WiFi module;Bluetooth module;Apple S7 chip;Power adapter;Touch surface"
iot,Philips,Hue Bridge,None,None,None,2015,0.09,None,Budget,"Ethernet port;WiFi module;Zigbee module;Power adapter;LED indicators;Reset button"
iot,Ring,Video Doorbell,None,None,None,2020,0.51,IPX5,Premium,"Camera sensor;Motion detector;WiFi module;Bluetooth module;IR LEDs;Speakers;Microphones;Doorbell button;Charging port"
