device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
laptop,Dell,XPS 15,won't turn on no power black screen,Power supply failure,Power adapter;Battery;Motherboard;Power jack,52,93.4,Intermediate
laptop,Dell,XPS 15,completely dead not responding to power button,Power supply failure,Power adapter;Battery;Motherboard;Power jack,64,94.9,Intermediate
laptop,Dell,XPS 15,no lights no signs of life,Power supply failure,Power adapter;Battery;Motherboard;Power jack,70,88.0,Intermediate
laptop,Dell,XPS 15,power button not working device dead,Power supply failure,Power adapter;Battery;Motherboard;Power jack,52,92.8,Intermediate
laptop,Dell,XPS 15,tried charging overnight still won't turn on,Power supply failure,Power adapter;Battery;Motherboard;Power jack,66,85.5,Intermediate
laptop,Dell,XPS 15,dead battery not charging,Battery failure,Battery;Charging port;Battery connector,39,90.5,Beginner
laptop,Dell,XPS 15,battery drains very fast only lasts 30 minutes,Battery failure,Battery;Charging port;Battery connector,46,95.4,Beginner
laptop,Dell,XPS 15,charging but percentage not increasing,Battery failure,Battery;Charging port;Battery connector,36,99.4,Beginner
laptop,Dell,XPS 15,battery swollen device bulging,Battery failure,Battery;Charging port;Battery connector,39,93.0,Beginner
laptop,Dell,XPS 15,shows charging but battery percentage drops,Battery failure,Battery;Charging port;Battery connector,36,93.2,Beginner
laptop,Dell,XPS 15,screen cracked broken display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,81,98.8,Advanced
laptop,Dell,XPS 15,display shattered touch not working,Screen damage,Display;LCD panel;Touch digitizer;Display cable,67,99.3,Advanced
laptop,Dell,XPS 15,black spots on screen after drop,Screen damage,Display;LCD panel;Touch digitizer;Display cable,69,100.0,Advanced
laptop,Dell,XPS 15,screen flickering lines across display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,66,96.7,Advanced
laptop,Dell,XPS 15,half screen not working after fall,Screen damage,Display;LCD panel;Touch digitizer;Display cable,68,96.0,Advanced
laptop,Dell,XPS 15,screen stays black but device is on,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,59,89.3,Intermediate
laptop,Dell,XPS 15,display very dim can barely see anything,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,63,88.0,Intermediate
laptop,Dell,XPS 15,screen flickers when moving lid,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,51,86.5,Intermediate
laptop,Dell,XPS 15,vertical lines on display,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,66,85.9,Intermediate
laptop,Dell,XPS 15,screen goes black randomly,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,58,80.6,Intermediate
laptop,Dell,XPS 15,slow performance lag freezing,Software issue,RAM;SSD;Operating system;Drivers,88,83.7,Intermediate
laptop,Dell,XPS 15,apps crash constantly won't stay open,Software issue,RAM;SSD;Operating system;Drivers,86,82.6,Intermediate
laptop,Dell,XPS 15,system freezes need to force restart,Software issue,RAM;SSD;Operating system;Drivers,87,83.8,Intermediate
laptop,Dell,XPS 15,very slow takes forever to open anything,Software issue,RAM;SSD;Operating system;Drivers,84,86.0,Intermediate
laptop,Dell,XPS 15,keeps restarting on its own,Software issue,RAM;SSD;Operating system;Drivers,95,81.1,Intermediate
laptop,Dell,XPS 15,overheating fan loud hot,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,58,92.9,Intermediate
laptop,Dell,XPS 15,device gets extremely hot can't touch it,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,52,92.6,Intermediate
laptop,Dell,XPS 15,fan running at full speed very noisy,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,60,92.8,Intermediate
laptop,Dell,XPS 15,shuts down due to overheating,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,53,89.8,Intermediate
laptop,Dell,XPS 15,bottom gets burning hot during use,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,69,90.7,Intermediate
laptop,Dell,XPS 15,wifi not connecting no internet,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,28,93.2,Beginner
laptop,Dell,XPS 15,bluetooth won't turn on greyed out,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,21,89.8,Beginner
laptop,Dell,XPS 15,wifi keeps disconnecting every few minutes,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,28,93.9,Beginner
laptop,Dell,XPS 15,can't find any wifi networks,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,20,94.5,Beginner
laptop,Dell,XPS 15,network adapter not detected,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,28,87.3,Beginner
laptop,Dell,XPS 15,keyboard not working some keys,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,48,85.9,Intermediate
laptop,Dell,XPS 15,several keys don't respond when pressed,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,47,91.5,Intermediate
laptop,Dell,XPS 15,keyboard types wrong characters,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,44,93.1,Intermediate
laptop,Dell,XPS 15,spacebar and enter key not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,53,94.5,Intermediate
laptop,Dell,XPS 15,liquid spilled on keyboard not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,37,94.3,Intermediate
laptop,Dell,XPS 15,no sound speaker audio issue,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,22,89.4,Beginner
laptop,Dell,XPS 15,speakers crackling distorted sound,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,27,82.6,Beginner
laptop,Dell,XPS 15,microphone not working during calls,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,27,82.6,Beginner
laptop,Dell,XPS 15,audio only works with headphones,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,20,82.8,Beginner
laptop,Dell,XPS 15,one speaker not working,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,38,80.3,Beginner
laptop,Dell,XPS 15,usb ports not working,USB failure,USB ports;Motherboard;USB controller,39,91.4,Intermediate
laptop,Dell,XPS 15,usb devices not recognized,USB failure,USB ports;Motherboard;USB controller,54,85.2,Intermediate
