device_type,brand,model,part_name,part_number,compatibility,average_cost,availability,replacement_difficulty,estimated_time
laptop,Dell,XPS 15,Battery,312-1234,Dell XPS 15 9510/9520,89.99,In Stock,Medium,45
laptop,Dell,XPS 15,SSD,456-7890,M.2 NVMe 512GB,129.99,In Stock,Easy,30
laptop,Dell,XPS 15,Display,789-0123,15.6" 4K OLED,349.99,Limited,Expert,120
laptop,Dell,XPS 15,Keyboard,012-3456,US Backlit Keyboard,79.99,In Stock,Medium,60
laptop,HP,EliteBook 840,Battery,HP-840-BAT,HP EliteBook 840 G1-G8,69.99,In Stock,Medium,40
laptop,HP,EliteBook 840,Display,HP-840-LCD,14" FHD IPS,199.99,In Stock,Expert,90
laptop,HP,EliteBook 840,Fan,HP-840-FAN,Cooling Fan Assembly,39.99,In Stock,Medium,50
laptop,Lenovo,ThinkPad T490,Battery,TP-T490-BAT,ThinkPad T490/T480,79.99,In Stock,Medium,35
laptop,Lenovo,ThinkPad T490,Keyboard,TP-T490-KB,Backlit Keyboard US,89.99,In Stock,Medium,45
laptop,Lenovo,ThinkPad T490,TrackPoint,TP-T490-TP,TrackPoint Assembly,19.99,In Stock,Easy,25
laptop,Apple,MacBook Pro,Battery,MBP-14-BAT,14" MacBook Pro M2,159.99,Limited,Expert,75
laptop,Apple,MacBook Pro,Display,MBP-14-DSP,14" Liquid Retina XDR,599.99,Limited,Expert,150
laptop,Apple,MacBook Pro,Keyboard,MBP-14-KB,Backlit Magic Keyboard,199.99,Limited,Expert,90
smartphone,Apple,iPhone 12,Battery,IP12-BAT,iPhone 12 Mini/12/12 Pro,49.99,In Stock,Medium,45
smartphone,Apple,iPhone 12,Display,IP12-DSP,6.1" Super Retina XDR,279.99,In Stock,Expert,75
smartphone,Apple,iPhone 12,Camera,IP12-CAM,Rear Camera Module,89.99,In Stock,Medium,60
smartphone,Apple,iPhone 12,Face ID,IP12-FACE,Face ID Assembly,149.99,Limited,Expert,95
smartphone,Samsung,Galaxy S21,Battery,GS21-BAT,Galaxy S21/S21+,49.99,In Stock,Medium,40
smartphone,Samsung,Galaxy S21,Display,GS21-DSP,6.2" Dynamic AMOLED,229.99,In Stock,Expert,70
smartphone,Samsung,Galaxy S21,Charging Port,GS21-USB,USB-C Charging Port,29.99,In Stock,Medium,35
smartphone,Samsung,Galaxy S21,S Pen,GS21-SPEN,S Pen Stylus,39.99,In Stock,Easy,15
smartphone,Google,Pixel 6,Battery,PX6-BAT,Pixel 6/6 Pro,44.99,In Stock,Medium,50
smartphone,Google,Pixel 6,Display,PX6-DSP,6.4" OLED Display,199.99,In Stock,Expert,65
smartphone,Google,Pixel 6,Camera,PX6-CAM,Rear Camera Module,79.99,In Stock,Medium,55
tablet,Apple,iPad Pro,Battery,IPP-BAT,11" iPad Pro M2,129.99,Limited,Expert,90
tablet,Apple,iPad Pro,Display,IPP-DSP,11" Liquid Retina,449.99,Limited,Expert,120
tablet,Apple,iPad Pro,Apple Pencil,IPP-PENCIL,Apple Pencil 2nd Gen,129.99,In Stock,Easy,5
tablet,Samsung,Galaxy Tab S8,Battery,GTS8-BAT,Galaxy Tab S8/S8+,79.99,In Stock,Medium,60
tablet,Samsung,Galaxy Tab S8,Display,GTS8-DSP,11" Super AMOLED,299.99,In Stock,Expert,85
tablet,Samsung,Galaxy Tab S8,S Pen,GTS8-SPEN,S Pen Stylus,49.99,In Stock,Easy,5
tablet,Microsoft,Surface Pro 9,Battery,SP9-BAT,Surface Pro 9/8,119.99,In Stock,Medium,55
tablet,Microsoft,Surface Pro 9,Display,SP9-DSP,13" PixelSense Touch,399.99,In Stock,Expert,100
tablet,Microsoft,Surface Pro 9,Type Cover,SP9-KB,Type Cover Keyboard,129.99,In Stock,Easy,5
smartwatch,Apple,Watch Series 8,Battery,AW8-BAT,Watch Series 8/7,69.99,Limited,Expert,50
smartwatch,Apple,Watch Series 8,Display,AW8-DSP,45mm Retina Display,149.99,Limited,Expert,60
smartwatch,Apple,Watch Series 8,Digital Crown,AW8-CROWN,Digital Crown Assembly,89.99,Limited,Expert,45
smartwatch,Samsung,Galaxy Watch 5,Battery,GW5-BAT,Galaxy Watch 5/5 Pro,49.99,In Stock,Medium,40
smartwatch,Samsung,Galaxy Watch 5,Display,GW5-DSP,1.4" Super AMOLED,99.99,In Stock,Expert,50
smartwatch,Samsung,Galaxy Watch 5,Bezel,GW5-BEZEL,Rotating Bezel,79.99,In Stock,Medium,35
smarttv,Samsung,QN90B,Power Supply,SAM-QN90-PS,Neo QLED Power Board,149.99,Limited,Expert,75
smarttv,Samsung,QN90B,T-CON Board,SAM-QN90-TCON,T-CON Controller,199.99,Limited,Expert,85
smarttv,Samsung,QN90B,Main Board,SAM-QN90-MAIN,Main Logic Board,399.99,Limited,Expert,120
smarttv,LG,OLED C1,OLED Panel,LG-OLED-C1-PANEL,55" OLED Panel,899.99,Very Limited,Expert,180
smarttv,LG,OLED C1,Power Supply,LG-OLED-C1-PS,OLED Power Board,129.99,Limited,Expert,70
smarttv,LG,OLED C1,Main Board,LG-OLED-C1-MAIN,OLED Main Board,299.99,Limited,Expert,110
headphones,Sony,WH-1000XM4,Battery,SONY-XM4-BAT,WH-1000XM4 Battery,39.99,In Stock,Easy,30
headphones,Sony,WH-1000XM4,Ear Cushions,SONY-XM4-EAR,Replacement Ear Cushions,29.99,In Stock,Easy,15
headphones,Sony,WH-1000XM4,Headband,SONY-XM4-HB,Replacement Headband,34.99,In Stock,Easy,20
