device_type,component,failure_rate_per_month,base_failure_risk,aging_factor,usage_multiplier,temperature_multiplier,repair_impact
laptop,Battery,0.8,15.0,1.5,1.2,2.0,0.8
laptop,SSD,0.3,8.0,1.2,1.1,1.5,0.6
laptop,RAM,0.2,5.0,1.1,1.0,1.3,0.5
laptop,Fan,1.2,12.0,1.8,1.4,2.2,0.7
laptop,Keyboard,0.5,10.0,1.3,1.2,1.0,0.9
laptop,Display,0.4,7.0,1.4,1.1,1.6,0.8
laptop,Motherboard,0.1,3.0,1.1,1.0,1.8,0.4
laptop,WiFi card,0.6,11.0,1.5,1.3,1.4,0.7
laptop,Webcam,0.3,6.0,1.2,1.1,1.2,0.8
laptop,USB ports,0.7,9.0,1.6,1.3,1.3,0.6
laptop,Speakers,0.2,4.0,1.1,1.2,1.1,0.9
laptop,Touchpad,0.8,13.0,1.7,1.4,1.2,0.8
smartphone,Battery,1.5,20.0,2.0,1.5,2.5,0.7
smartphone,Display,0.9,15.0,1.8,1.3,1.8,0.6
smartphone,Charging port,1.1,18.0,1.9,1.4,1.6,0.8
smartphone,Rear camera,0.4,8.0,1.3,1.2,1.4,0.7
smartphone,Front camera,0.3,6.0,1.2,1.1,1.3,0.8
smartphone,Speakers,0.5,10.0,1.4,1.3,1.5,0.8
smartphone,Microphones,0.4,7.0,1.3,1.2,1.2,0.9
smartphone,Logic board,0.2,4.0,1.1,1.0,2.0,0.5
smartphone,Face ID sensor,0.6,12.0,1.6,1.3,1.4,0.6
smartphone,Fingerprint sensor,0.7,14.0,1.7,1.4,1.3,0.7
smartphone,Volume buttons,0.9,16.0,1.8,1.5,1.1,0.9
smartphone,Power button,0.8,15.0,1.7,1.4,1.1,0.8
smartphone,Vibration motor,0.5,9.0,1.4,1.3,1.2,0.8
tablet,Battery,1.0,16.0,1.7,1.3,2.2,0.7
tablet,Display,0.7,12.0,1.5,1.2,1.7,0.6
tablet,Charging port,0.8,14.0,1.6,1.3,1.5,0.8
tablet,Speakers,0.4,8.0,1.3,1.2,1.4,0.8
tablet,Microphones,0.3,6.0,1.2,1.1,1.2,0.9
tablet,Logic board,0.2,5.0,1.1,1.0,1.8,0.5
tablet,Home button,0.6,11.0,1.5,1.3,1.1,0.8
tablet,Volume buttons,0.7,13.0,1.6,1.4,1.1,0.9
tablet,Front camera,0.3,7.0,1.2,1.1,1.3,0.8
tablet,Rear camera,0.4,9.0,1.3,1.2,1.4,0.7
smartwatch,Battery,1.8,25.0,2.2,1.6,2.8,0.6
smartwatch,Display,1.0,18.0,1.8,1.3,1.9,0.5
smartwatch,Charging coil,1.2,20.0,2.0,1.4,1.7,0.7
smartwatch,Heart rate sensor,0.8,15.0,1.7,1.3,1.5,0.6
smartwatch,Digital crown,0.9,16.0,1.8,1.4,1.2,0.8
smartwatch,Side button,0.7,14.0,1.6,1.3,1.1,0.9
smartwatch,Taptic engine,0.6,12.0,1.5,1.2,1.3,0.7
smartwatch,Speaker,0.5,10.0,1.4,1.2,1.4,0.8
smartwatch,Microphone,0.4,8.0,1.3,1.1,1.2,0.9
smartwatch,GPS module,0.3,6.0,1.2,1.1,1.3,0.7
smartwatch,Cellular antenna,0.5,11.0,1.5,1.2,1.4,0.6
smarttv,Power supply,0.6,12.0,1.7,1.3,2.0,0.5
smarttv,Display panel,0.4,8.0,1.4,1.1,1.8,0.4
smarttv,T-CON board,0.5,10.0,1.5,1.2,1.6,0.6
smarttv,Main board,0.3,7.0,1.3,1.1,1.9,0.5
smarttv,Speakers,0.2,5.0,1.2,1.2,1.3,0.8
smarttv,HDMI ports,0.7,13.0,1.6,1.3,1.4,0.7
smarttv,USB ports,0.6,11.0,1.5,1.3,1.3,0.8
smarttv,WiFi module,0.8,14.0,1.7,1.4,1.5,0.6
smarttv,Remote control,1.2,18.0,1.9,1.5,1.1,0.9
smarttv,IR receiver,0.4,9.0,1.3,1.2,1.2,0.8
headphones,Drivers,0.9,16.0,1.8,1.4,1.6,0.6
headphones,Battery,1.3,22.0,2.0,1.5,2.4,0.5
headphones,ANC processor,0.6,12.0,1.5,1.3,1.7,0.7
headphones,Bluetooth module,0.7,13.0,1.6,1.3,1.5,0.6
headphones,Touch controls,0.8,14.0,1.7,1.4,1.2,0.8
headphones,Microphones,0.5,10.0,1.4,1.2,1.3,0.8
headphones,Charging port,1.0,17.0,1.8,1.4,1.4,0.7
headphones,Headband,0.4,8.0,1.3,1.2,1.0,0.9
headphones,Ear cushions,0.6,11.0,1.5,1.3,1.1,0.9
headphones,Audio cable,0.7,13.0,1.6,1.4,1.1,0.8
iot,Speaker array,0.5,10.0,1.4,1.3,1.5,0.7
iot,Microphone array,0.6,11.0,1.5,1.3,1.4,0.8
iot,WiFi module,0.8,14.0,1.7,1.4,1.6,0.6
iot,Bluetooth module,0.7,13.0,1.6,1.3,1.5,0.7
iot,Power adapter,0.4,8.0,1.3,1.2,1.8,0.5
iot,LED indicators,0.3,6.0,1.2,1.1,1.3,0.9
iot,Touch buttons,0.6,12.0,1.5,1.3,1.2,0.8
iot,Camera sensor,0.5,9.0,1.4,1.2,1.4,0.7
iot,Motion detector,0.4,8.0,1.3,1.2,1.3,0.8
iot,Ethernet port,0.3,7.0,1.2,1.1,1.2,0.9
iot,Zigbee module,0.6,11.0,1.5,1.3,1.4,0.6
